_id,Client,Restaurant,State,Date,Pricing,Quantity,Item
1,400,15,in-process,2015-06-12T00:00:00Z,0.38,5,"{""Name"":""Pizza Pepperoni"",""Price"":85.6137293575094}"
2,119,33,delivered,2018-03-22T00:00:00Z,147.62,4,"{""Name"":""Miso Soup"",""Price"":78.39887745486338}"
3,218,25,delivered,2020-01-15T00:00:00Z,43.70,8,"{""Name"":""Pizza Pepperoni"",""Price"":139.13213498336577}"
4,79,22,in-process,2015-06-12T00:00:00Z,138.84,9,"{""Name"":""Butter Chicken"",""Price"":69.61132895198415}"
5,92,25,accepted,2018-03-22T00:00:00Z,12.74,4,"{""Name"":""Pizza Margarita"",""Price"":118.90671944207223}"
6,252,5,delivered,2015-06-12T00:00:00Z,101.67,10,"{""Name"":""Nigiri"",""Price"":19.10662710990456}"
7,318,8,accepted,2020-01-15T00:00:00Z,20.42,3,"{""Name"":""Pizza Pepperoni"",""Price"":68.94717481159041}"
8,191,8,accepted,2020-01-15T00:00:00Z,65.82,5,"{""Name"":""Butter Chicken"",""Price"":16.990051078518835}"
9,299,21,in-process,2015-06-12T00:00:00Z,83.16,4,"{""Name"":""Butter Chicken"",""Price"":121.61628777997038}"
10,395,48,accepted,2020-01-15T00:00:00Z,146.98,10,"{""Name"":""Miso Soup"",""Price"":71.5055323287567}"
11,311,36,delivered,2015-06-12T00:00:00Z,147.09,2,"{""Name"":""Nigiri"",""Price"":118.55021886090591}"
12,364,22,delivered,2015-06-12T00:00:00Z,35.74,5,"{""Name"":""Nigiri"",""Price"":7.642519185306792}"
13,345,22,accepted,2020-01-15T00:00:00Z,42.28,8,"{""Name"":""Pizza Margarita"",""Price"":64.18315462771261}"
14,348,10,in-process,2020-01-15T00:00:00Z,113.48,2,"{""Name"":""Miso Soup"",""Price"":1.5709810392809669}"
15,305,33,delivered,2015-06-12T00:00:00Z,27.48,4,"{""Name"":""Pizza Pepperoni"",""Price"":53.740382418296825}"
16,35,30,in-process,2020-01-15T00:00:00Z,12.15,10,"{""Name"":""Pizza Pepperoni"",""Price"":1.6267143946966105}"
17,164,34,in-process,2018-03-22T00:00:00Z,52.77,9,"{""Name"":""Miso Soup"",""Price"":68.82835411529248}"
18,192,37,in-process,2020-01-15T00:00:00Z,97.20,10,"{""Name"":""Pizza Margarita"",""Price"":50.25792835783471}"
19,390,13,accepted,2015-06-12T00:00:00Z,113.12,4,"{""Name"":""Pizza Pepperoni"",""Price"":91.52164279472291}"
20,146,50,accepted,2015-06-12T00:00:00Z,48.24,2,"{""Name"":""Pizza Margarita"",""Price"":137.21499086023897}"
21,93,24,accepted,2018-03-22T00:00:00Z,140.35,7,"{""Name"":""Pizza Margarita"",""Price"":77.62032522050733}"
22,322,25,delivered,2018-03-22T00:00:00Z,112.22,9,"{""Name"":""Butter Chicken"",""Price"":66.61919384749076}"
23,146,16,accepted,2018-03-22T00:00:00Z,1.80,4,"{""Name"":""Pizza Pepperoni"",""Price"":113.01906035492657}"
24,260,2,in-process,2020-01-15T00:00:00Z,81.21,4,"{""Name"":""Miso Soup"",""Price"":62.01581682073953}"
25,73,14,delivered,2015-06-12T00:00:00Z,11.57,8,"{""Name"":""Pizza Margarita"",""Price"":83.91911550928458}"
26,395,18,in-process,2018-03-22T00:00:00Z,115.53,1,"{""Name"":""Miso Soup"",""Price"":125.55992063693336}"
27,363,33,accepted,2020-01-15T00:00:00Z,69.32,1,"{""Name"":""Nigiri"",""Price"":12.00724602741238}"
28,84,28,accepted,2020-01-15T00:00:00Z,84.69,4,"{""Name"":""Nigiri"",""Price"":59.96691882781193}"
29,218,37,in-process,2015-06-12T00:00:00Z,20.40,8,"{""Name"":""Pizza Margarita"",""Price"":52.597684286805304}"
30,227,34,delivered,2020-01-15T00:00:00Z,133.10,10,"{""Name"":""Butter Chicken"",""Price"":11.171420464836046}"
31,260,24,accepted,2020-01-15T00:00:00Z,37.99,2,"{""Name"":""Pizza Margarita"",""Price"":28.911296423786137}"
32,304,10,in-process,2020-01-15T00:00:00Z,97.97,7,"{""Name"":""Pizza Margarita"",""Price"":94.05913977916757}"
33,19,10,in-process,2015-06-12T00:00:00Z,143.39,10,"{""Name"":""Pizza Margarita"",""Price"":8.635977668354212}"
34,386,17,in-process,2015-06-12T00:00:00Z,14.52,5,"{""Name"":""Miso Soup"",""Price"":45.957153655810075}"
35,212,27,accepted,2015-06-12T00:00:00Z,143.06,4,"{""Name"":""Pizza Pepperoni"",""Price"":37.963826206565166}"
36,221,22,accepted,2015-06-12T00:00:00Z,140.37,9,"{""Name"":""Miso Soup"",""Price"":146.1527402979068}"
37,256,38,delivered,2015-06-12T00:00:00Z,105.10,8,"{""Name"":""Butter Chicken"",""Price"":34.41372603106867}"
38,228,21,delivered,2020-01-15T00:00:00Z,13.16,5,"{""Name"":""Butter Chicken"",""Price"":26.66388721741992}"
39,389,43,in-process,2020-01-15T00:00:00Z,16.87,4,"{""Name"":""Nigiri"",""Price"":97.77355497297873}"
40,21,15,delivered,2015-06-12T00:00:00Z,5.44,2,"{""Name"":""Pizza Margarita"",""Price"":124.90260632183526}"
41,294,20,accepted,2018-03-22T00:00:00Z,55.87,3,"{""Name"":""Nigiri"",""Price"":11.676869022945322}"
42,362,10,in-process,2015-06-12T00:00:00Z,87.93,5,"{""Name"":""Pizza Pepperoni"",""Price"":49.63918581230556}"
43,325,25,in-process,2018-03-22T00:00:00Z,14.92,5,"{""Name"":""Butter Chicken"",""Price"":143.9205646967088}"
44,166,16,delivered,2020-01-15T00:00:00Z,18.59,5,"{""Name"":""Pizza Margarita"",""Price"":134.81635264077906}"
45,4,17,delivered,2018-03-22T00:00:00Z,109.52,1,"{""Name"":""Butter Chicken"",""Price"":20.592473895283042}"
46,154,40,in-process,2018-03-22T00:00:00Z,147.02,4,"{""Name"":""Pizza Pepperoni"",""Price"":121.4066081505735}"
47,149,46,in-process,2018-03-22T00:00:00Z,91.61,7,"{""Name"":""Pizza Pepperoni"",""Price"":51.609388316105886}"
48,24,37,accepted,2020-01-15T00:00:00Z,62.27,3,"{""Name"":""Nigiri"",""Price"":12.464300393966818}"
49,107,23,delivered,2018-03-22T00:00:00Z,25.49,7,"{""Name"":""Miso Soup"",""Price"":123.25550269397642}"
50,41,14,in-process,2018-03-22T00:00:00Z,47.25,1,"{""Name"":""Pizza Pepperoni"",""Price"":88.61097213849541}"
51,194,1,delivered,2015-06-12T00:00:00Z,34.95,5,"{""Name"":""Pizza Pepperoni"",""Price"":109.56083401061291}"
52,182,43,accepted,2018-03-22T00:00:00Z,85.06,6,"{""Name"":""Pizza Pepperoni"",""Price"":10.841532896813636}"
53,315,33,in-process,2018-03-22T00:00:00Z,95.74,8,"{""Name"":""Nigiri"",""Price"":132.24237087767236}"
54,127,13,accepted,2015-06-12T00:00:00Z,142.21,2,"{""Name"":""Nigiri"",""Price"":28.945229457129294}"
55,400,33,accepted,2018-03-22T00:00:00Z,76.15,6,"{""Name"":""Butter Chicken"",""Price"":86.34848601218279}"
56,105,31,delivered,2015-06-12T00:00:00Z,5.83,10,"{""Name"":""Butter Chicken"",""Price"":6.574204397073426}"
57,80,30,accepted,2018-03-22T00:00:00Z,5.23,6,"{""Name"":""Butter Chicken"",""Price"":148.53947391237622}"
58,50,10,accepted,2015-06-12T00:00:00Z,88.96,9,"{""Name"":""Pizza Pepperoni"",""Price"":57.61036203568181}"
59,25,7,accepted,2018-03-22T00:00:00Z,77.32,7,"{""Name"":""Pizza Margarita"",""Price"":138.45992496495106}"
60,304,35,in-process,2018-03-22T00:00:00Z,11.99,10,"{""Name"":""Miso Soup"",""Price"":93.65139702855566}"
61,138,45,delivered,2020-01-15T00:00:00Z,94.19,1,"{""Name"":""Pizza Margarita"",""Price"":68.1645759452983}"
62,375,27,in-process,2018-03-22T00:00:00Z,91.60,9,"{""Name"":""Butter Chicken"",""Price"":86.87798974677855}"
63,275,24,accepted,2015-06-12T00:00:00Z,32.30,10,"{""Name"":""Nigiri"",""Price"":111.76434145028277}"
64,153,25,delivered,2015-06-12T00:00:00Z,135.97,4,"{""Name"":""Miso Soup"",""Price"":149.9877563204967}"
65,120,45,in-process,2018-03-22T00:00:00Z,140.84,1,"{""Name"":""Pizza Margarita"",""Price"":136.8965079208962}"
66,69,10,delivered,2015-06-12T00:00:00Z,103.41,5,"{""Name"":""Pizza Pepperoni"",""Price"":62.90536791452907}"
67,254,30,in-process,2020-01-15T00:00:00Z,78.78,10,"{""Name"":""Pizza Pepperoni"",""Price"":2.0331774562773433}"
68,249,18,accepted,2018-03-22T00:00:00Z,38.25,7,"{""Name"":""Butter Chicken"",""Price"":59.63476811208892}"
69,239,1,in-process,2018-03-22T00:00:00Z,2.42,3,"{""Name"":""Miso Soup"",""Price"":24.534642404687535}"
70,203,43,accepted,2015-06-12T00:00:00Z,37.96,1,"{""Name"":""Miso Soup"",""Price"":101.04662598123721}"
71,290,36,accepted,2015-06-12T00:00:00Z,94.35,8,"{""Name"":""Pizza Pepperoni"",""Price"":79.06060899661702}"
72,285,16,in-process,2015-06-12T00:00:00Z,80.68,6,"{""Name"":""Pizza Margarita"",""Price"":18.77416355008353}"
73,355,8,in-process,2015-06-12T00:00:00Z,105.29,5,"{""Name"":""Miso Soup"",""Price"":110.42240967298511}"
74,324,27,accepted,2018-03-22T00:00:00Z,75.28,1,"{""Name"":""Pizza Margarita"",""Price"":65.29155599914557}"
75,9,4,accepted,2018-03-22T00:00:00Z,75.44,4,"{""Name"":""Pizza Margarita"",""Price"":96.39512512322524}"
76,293,43,accepted,2020-01-15T00:00:00Z,112.83,3,"{""Name"":""Nigiri"",""Price"":34.97721528020883}"
77,195,31,in-process,2015-06-12T00:00:00Z,130.72,3,"{""Name"":""Butter Chicken"",""Price"":45.328242885061556}"
78,86,9,in-process,2018-03-22T00:00:00Z,79.89,4,"{""Name"":""Pizza Pepperoni"",""Price"":27.73901361815041}"
79,299,39,accepted,2020-01-15T00:00:00Z,113.43,2,"{""Name"":""Pizza Margarita"",""Price"":27.032629379336576}"
80,41,5,accepted,2015-06-12T00:00:00Z,11.89,9,"{""Name"":""Butter Chicken"",""Price"":24.532076183874516}"
81,94,23,delivered,2018-03-22T00:00:00Z,48.12,2,"{""Name"":""Pizza Pepperoni"",""Price"":73.39994524752863}"
82,358,16,accepted,2018-03-22T00:00:00Z,79.37,4,"{""Name"":""Pizza Pepperoni"",""Price"":39.62529106770769}"
83,99,19,in-process,2020-01-15T00:00:00Z,132.91,8,"{""Name"":""Pizza Pepperoni"",""Price"":103.95040595776689}"
84,367,48,delivered,2020-01-15T00:00:00Z,74.09,1,"{""Name"":""Pizza Margarita"",""Price"":100.44486234375985}"
85,378,42,delivered,2015-06-12T00:00:00Z,76.07,5,"{""Name"":""Pizza Margarita"",""Price"":61.39691818808361}"
86,258,28,delivered,2018-03-22T00:00:00Z,58.42,1,"{""Name"":""Pizza Margarita"",""Price"":77.01403374163033}"
87,36,10,delivered,2020-01-15T00:00:00Z,138.94,3,"{""Name"":""Pizza Pepperoni"",""Price"":9.349819801761964}"
88,400,38,delivered,2018-03-22T00:00:00Z,123.19,3,"{""Name"":""Nigiri"",""Price"":148.93523392837213}"
89,144,15,in-process,2018-03-22T00:00:00Z,2.08,1,"{""Name"":""Butter Chicken"",""Price"":16.124345427440783}"
90,206,43,delivered,2018-03-22T00:00:00Z,81.21,7,"{""Name"":""Nigiri"",""Price"":86.790421306638}"
91,274,22,delivered,2015-06-12T00:00:00Z,3.14,10,"{""Name"":""Miso Soup"",""Price"":20.039238632681272}"
92,240,14,accepted,2020-01-15T00:00:00Z,102.93,8,"{""Name"":""Pizza Pepperoni"",""Price"":109.20814564892518}"
93,346,18,accepted,2020-01-15T00:00:00Z,16.50,3,"{""Name"":""Nigiri"",""Price"":89.06844486387456}"
94,126,38,accepted,2018-03-22T00:00:00Z,20.98,6,"{""Name"":""Pizza Pepperoni"",""Price"":37.930156110125395}"
95,51,46,accepted,2015-06-12T00:00:00Z,109.91,3,"{""Name"":""Butter Chicken"",""Price"":103.77711207559094}"
96,3,50,in-process,2015-06-12T00:00:00Z,138.97,3,"{""Name"":""Pizza Pepperoni"",""Price"":74.73099732335528}"
97,386,2,in-process,2015-06-12T00:00:00Z,59.03,9,"{""Name"":""Nigiri"",""Price"":44.715982907263225}"
98,142,3,delivered,2020-01-15T00:00:00Z,42.62,2,"{""Name"":""Miso Soup"",""Price"":133.66125917238134}"
99,328,29,delivered,2015-06-12T00:00:00Z,4.61,4,"{""Name"":""Pizza Pepperoni"",""Price"":17.97184910319234}"
100,188,23,accepted,2020-01-15T00:00:00Z,107.42,7,"{""Name"":""Pizza Pepperoni"",""Price"":124.81243190151176}"
101,356,33,accepted,2015-06-12T00:00:00Z,24.44,1,"{""Name"":""Nigiri"",""Price"":116.83938346685991}"
102,240,17,accepted,2015-06-12T00:00:00Z,105.04,2,"{""Name"":""Pizza Pepperoni"",""Price"":140.18955900124462}"
103,14,50,in-process,2020-01-15T00:00:00Z,96.02,3,"{""Name"":""Butter Chicken"",""Price"":78.82056666027867}"
104,238,4,delivered,2015-06-12T00:00:00Z,149.15,2,"{""Name"":""Nigiri"",""Price"":88.36134224840775}"
105,50,42,accepted,2018-03-22T00:00:00Z,127.38,1,"{""Name"":""Pizza Pepperoni"",""Price"":143.69729798570825}"
106,400,11,in-process,2015-06-12T00:00:00Z,86.48,7,"{""Name"":""Pizza Pepperoni"",""Price"":141.31790811815267}"
107,279,25,accepted,2015-06-12T00:00:00Z,76.77,1,"{""Name"":""Butter Chicken"",""Price"":98.37610188711649}"
108,279,25,accepted,2018-03-22T00:00:00Z,69.17,6,"{""Name"":""Pizza Margarita"",""Price"":148.07349374841021}"
109,238,48,delivered,2015-06-12T00:00:00Z,21.61,1,"{""Name"":""Butter Chicken"",""Price"":140.5992135094298}"
110,50,21,delivered,2020-01-15T00:00:00Z,55.19,10,"{""Name"":""Pizza Margarita"",""Price"":15.25809392237237}"
111,130,40,in-process,2020-01-15T00:00:00Z,34.18,4,"{""Name"":""Butter Chicken"",""Price"":78.17267384519899}"
112,221,47,accepted,2015-06-12T00:00:00Z,48.22,7,"{""Name"":""Pizza Margarita"",""Price"":46.892743376178444}"
